CustomerID,Cluster,MerchantName,TransactionRank,TransactionRedeemedPoints,TransactionValue,TransactionFrom(days),CustomerLastTransactionFrom(days),Category
1,1,Grill Emperor,1,4427,442.7,7.6923076923076925,281,F&B
2,1,Threads Royale,1,2490,249.0,50.0,34,Fashion
3,1,Cakeland,1,3000,300.0,9.090909090909092,236,F&B
4,1,Threads Royale,1,1620,162.0,7.142857142857142,320,Fashion
5,1,Quick Stop,1,700,70.0,5.555555555555555,407,Grocery
6,1,Marketplace Central,1,1536,153.6,100.0,23,Grocery
7,1,Threads Royale,1,2700,270.0,11.11111111111111,195,Fashion
8,1,Family Grocers,1,2388,238.8,7.6923076923076925,300,Grocery
9,1,Marketplace Central,1,1860,186.0,14.285714285714285,137,Grocery
9,1,Marketplace Central,2,8000,800.0,16.666666666666664,137,Grocery
10,1,Marketplace Central,1,1030,103.0,8.333333333333332,269,Grocery
11,1,Marketplace Central,1,2157,215.7,9.090909090909092,20,Grocery
11,1,Marketplace Central,2,2800,280.0,20.0,20,Grocery
11,1,Marketplace Central,3,1580,158.0,25.0,20,Grocery
11,1,Marketplace Central,4,1180,118.0,100.0,20,Grocery
11,1,Threads Royale,1,3980,398.0,7.142857142857142,20,Fashion
12,1,Marketplace Central,1,3293,329.3,7.6923076923076925,297,Grocery
13,1,Marketplace Central,1,1820,182.0,9.090909090909092,239,Grocery
14,1,Marketplace Central,1,2560,256.0,9.090909090909092,20,Grocery
14,1,Marketplace Central,2,2500,250.0,14.285714285714285,20,Grocery
14,1,Marketplace Central,3,3370,337.0,100.0,20,Grocery
14,1,Aroma Beans,1,3816,381.6,7.142857142857142,20,F&B
15,1,Zest Market,1,1796,179.6,5.263157894736842,441,Grocery
15,1,Zest Market,2,1796,179.6,5.263157894736842,441,Grocery
16,1,Marketplace Central,1,1420,142.0,11.11111111111111,201,Grocery
17,1,Marketplace Central,1,7860,786.0,100.0,15,Grocery
18,1,Marketplace Central,1,2080,208.0,33.33333333333333,48,Grocery
19,2,Grill Emperor,1,3540,354.0,8.333333333333332,102,F&B
19,2,Herbal Wellness,1,2460,246.0,20.0,102,Health & Beauty
20,1,Threads Royale,1,2190,219.0,9.090909090909092,253,Fashion
21,1,ClearSight Optics,1,7400,740.0,7.142857142857142,319,Fashion
22,1,Cakeland,1,3400,340.0,11.11111111111111,197,F&B
23,1,Marketplace Central,1,9845,984.5,14.285714285714285,159,Grocery
24,1,Marketplace Central,1,3560,356.0,33.33333333333333,61,Grocery
25,1,Family Grocers,1,3500,350.0,8.333333333333332,258,Grocery
25,1,Family Grocers,2,3500,350.0,8.333333333333332,258,Grocery
26,1,Marketplace Central,1,2050,205.0,8.333333333333332,20,Grocery
26,1,Marketplace Central,2,997,99.7,100.0,20,Grocery
27,1,Marketplace Central,1,2020,202.0,8.333333333333332,48,Grocery
27,1,Marketplace Central,2,860,86.0,33.33333333333333,48,Grocery
